PROJ,YEAR_INI,YEAR_FIN,NATUREZA,INTEGRANTES,COORDENA
Terra como princípio educativo,2017,ATUAL,PESQUISA,"['José Roberto Rambo', 'Hellen Cristina de Souza', 'Willian Marques Duarte', 'Marinez Cargnin-Stieler']","['NAO', 'NAO', 'NAO', 'SIM']"
Políticas públicas voltadas à agricultura familiar: análise do Programa de Apoio a Projetos de infraestrutura e Serviços em Territórios Rurais (Proinf/ SDT/MDA) em âmbito do Território Alto Paraguai,2017,ATUAL,PESQUISA,"['José Roberto Rambo', 'Gilmar Laforga', 'Raimundo Nonato Cunha de França', 'Sandro Benedito Sguarezi', 'SABBAG, OMAR JORGE', 'Anderson Gheller Froehlich']","['NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'SIM']"
MT Horticultura: canal de comunicação com os produtores rurais de Mato Grosso,2015,ATUAL,EXTENSAO,"['José Roberto Rambo', 'Gilmar Laforga', 'Willian Krause', 'Adalberto Santi', 'Kelvin Shin-iti Kabeya']","['NAO', 'NAO', 'SIM', 'NAO', 'NAO']"
"Coleta, Análise e Divulgação de Preços de Itens de Supermercados em Tangará da Serra-MT",2017,ATUAL,EXTENSAO,"['José Roberto Rambo', 'Gilmar Laforga', 'Karine Medeiros Anunciatto', 'Vanderson Ricardo Jorge', 'Julio da Silva Pereira', 'Jakciane Eggert']","['SIM', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO']"
Análise de Eficiência na Utilização de Recursos e no Atendimento a População do Programa de Aquisição de Alimentos (PAA) no Território do Alto Paraguai em Mato Grosso,2017,ATUAL,PESQUISA,"['José Roberto Rambo', 'Gilmar Laforga', 'Raimundo Nonato Cunha de França', 'Sandro Benedito Sguarezi', 'SABBAG, OMAR JORGE', 'Anderson Gheller Froehlich']","['SIM', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO']"
GRUPOS DE ATER: diálogos e práticas de extensão rural,2017,ATUAL,EXTENSAO,"['José Roberto Rambo', 'Gilmar Laforga', 'Adalberto Santi', 'Raimundo Nonato Cunha de França', 'Rafael Cesar Tieppo', 'Márcio Osvaldo Lima Magalhães', 'Anísio da Silva Nunes']","['NAO', 'SIM', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO']"
"Fortalecimento da Agroindústria Familiar em Tangará da Serra: diagnóstico, assistência técnica e extensão rural em assentamentos rurais",2018,ATUAL,EXTENSAO,"['José Roberto Rambo', 'Gilmar Laforga', 'Rogério Gonçalves Lacerda de Gouveia', 'Raimundo Nonato Cunha de França', 'Sandro Benedito Sguarezi', 'Jakciane Eggert', 'Anderson Gheller Froehlich', 'Agnaldo Soares Damacena']","['SIM', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO']"
Campus a Campo: Ações Extensionistas com a Agricultura Familiar de Tangará da Serra-MT,2013,ATUAL,EXTENSAO,"['José Roberto Rambo', 'Gilmar Laforga', 'Raimundo Nonato França', 'Rivanildo Dallacort', 'Samuel Laudelino Silva', 'Dejânia Vieira de Araújo', 'Mônica Josene Barbosa Pereira']","['SIM', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO']"
Núcleos de Extensão em Desenvolvimento Territorial dos Territórios de Andradina e do Noroeste Paulista,2014,2016,PESQUISA,"['José Roberto Rambo', 'Maria Aparecida Anselmo Tarsitano', ""Antonio Lázaro Sant'Ana"", 'Ticiana Petean Pina', 'Douglas de Araújo Gonzaga', 'Valéria da Silva Modenese', 'Luciana Carvalho de Oliveira', 'Étorre Santiago Zalinelo Monteiro']","['NAO', 'NAO', 'SIM', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO']"
"Capacitação Técnica e Organizacional das famílias do Assentamento Estrela da Ilha, em Ilha Solteira (SP).",2014,2016,EXTENSAO,"['José Roberto Rambo', ""Antonio Lázaro Sant'Ana"", 'Murilo Didonet de Moraes', 'Ticiana Petean Pina']","['NAO', 'SIM', 'NAO', 'NAO']"
