ISSN	Titulo	Estrato	Classificação
1601-5215	ACTA NEUROPSYCHIATRICA	A1	
1852-4834	ACTA ODONTOLOGICA LATINOAMERICANA	B3	
0001-6357	ACTA ODONTOLOGICA SCANDINAVICA (TRYKT UTG.)	A3	
1146-609X	ACTA OECOLOGICA (MONTROUGE)	A3	
1509-409X	ACTA OF BIOENGINEERING AND BIOMECHANICS	B2	
0001-6454	ACTA ORNITHOLOGICA	A4	
1809-4406	ACTA ORTOPÉDICA BRASILEIRA	B2	
1413-7852	ACTA ORTOPÉDICA BRASILEIRA (IMPRESSO)	B2	
0001-6489	ACTA OTO-LARYNGOLOGICA	A4	
0001-6519	ACTA OTORRINOLARINGOLÓGICA ESPAÑOLA	B1	
1230-2821	ACTA PARASITOLOGICA	A4	
1982-0194	ACTA PAUL DE ENFERM	A2	
0103-2100	ACTA PAULISTA DE ENFERMAGEM	A2	
1861-1664	ACTA PHYSIOLOGIAE PLANTARUM	A2	
0137-5881	ACTA PHYSIOLOGIAE PLANTARUM	A2	
1748-1716	ACTA PHYSIOLOGICA (ONLINE)	A1	
2183-5985	ACTA PORTUGUESA DE NUTRIÇÃO	B3	
0001-6896	ACTA PSIQUIÁTRICA Y PSICOLÓGICA DE AMÉRICA LATINA	B1	
0001-690X	ACTA PSYCHIATRICA SCANDINAVICA	A1	
0001-6918	ACTA PSYCHOLOGICA	A2	
0284-1851	ACTA RADIOLOGICA (1987)	B1	
2317-8957	ACTA SCIENTIAE ET TECHNICAE	B3	
1679-9216	ACTA SCIENTIAE VETERINARIAE (ONLINE)	B4	
1807-8621	ACTA SCIENTIARUM. AGRONOMY (ONLINE)	A4	
1806-2636	ACTA SCIENTIARUM. ANIMAL SCIENCES	A4	
1807-8672	ACTA SCIENTIARUM. ANIMAL SCIENCES	A4	
1679-9283	ACTA SCIENTIARUM. BIOLOGICAL SCIENCES (IMPRESSO)	B2	
1807-863X	ACTA SCIENTIARUM. BIOLOGICAL SCIENCES (ONLINE)	B2	
2178-5201	ACTA SCIENTIARUM. EDUCATION (ONLINE)	A1	
1679-9291	ACTA SCIENTIARUM. HEALTH SCIENCES (IMPRESSO)	B2	
1807-8648	ACTA SCIENTIARUM. HEALTH SCIENCES (ONLINE)	B2	
1807-8656	ACTA SCIENTIARUM. HUMAN AND SOCIAL SCIENCES	A2	
1679-7361	ACTA SCIENTIARUM. HUMAN AND SOCIAL SCIENCES (IMPRESSO)	A2	
1983-4683	ACTA SCIENTIARUM. LANGUAGE AND CULTURE (ONLINE)	A2	
1644-0730	ACTA SCIENTIARUM POLONORUM TECHNOLOGIA ALIMENTARIA	B1	
1806-2563	ACTA SCIENTIARUM. TECHNOLOGY (IMPRESSO)	A4	
1807-8664	ACTA SCIENTIARUM. TECHNOLOGY (ONLINE)	A4	
2581-365X	ACTA SCIENTIFIC AGRICULTURE	B3	
2581-4893	ACTA SCIENTIFIC DENTAL SCIENCES	B3	
2581-3226	ACTA SCIENTIFIC MICROBIOLOGY	B1	
2582-1423	ACTA SCIENTIFIC NUTRITIONAL HEALTH	B2	
2581-8635	ACTA SCIENTIFIC ORTHOPAEDICS	B3	
2582-5550	ACTA SCIENTIFIC OTOLARYNGOLOGY	B3	
2581-5423	ACTA SCIENTIFIC PHARMACEUTICAL SCIENCES	B2	
2582-3205	ACTA SCIENTIFIC WOMEN’S HEALTH	B3	
0102-4264	ACTA SEMIÓTICA ET LINGUÍSTICA	B2	
2446-7006	ACTA SEMIÓTICA ET LINGVISTICA	B2	
0186-6028	ACTA SOCIOLOGICA	A1	
2792-047X	ACTA STOMATOLOGICA CAPPADOCIA (ONLINE)	B4	
1982-422X	ACTA TECNOLÓGICA	B4	
0001-706X	ACTA TROPICA	A2	
2353-4850	ACTA UNIVERSITATIS LODZIENSIS. FOLIA SOCIOLOGICA (ONLINE)	A4	
1981-5484	ACTA VETERINARIA BRASILICA	B4	
