ISSN	Titulo	Estrato	Classificação
2317-4692	BRAZILIAN JOURNAL OF GEOLOGY	A2	
2317-4889	BRAZILIAN JOURNAL OF GEOLOGY	A2	
1809-4511	BRAZILIAN JOURNAL OF GEOPHYSICS	B2	
2595-6825	BRAZILIAN JOURNAL OF HEALTH REVIEW	B3	
1517-8382	BRAZILIAN JOURNAL OF MICROBIOLOGY	A2	
1679-8759	BRAZILIAN JOURNAL OF OCEANOGRAPHY (IMPRESSO)	A4	
1982-436X	BRAZILIAN JOURNAL OF OCEANOGRAPHY (ONLINE)	A4	
1982-0593	BRAZILIAN JOURNAL OF PETROLEUM AND GAS	B2	
1678-4448	BRAZILIAN JOURNAL OF PHYSICS	A3	
0103-9733	BRAZILIAN JOURNAL OF PHYSICS (IMPRESSO)	A3	
2319-0612	BRAZILIAN JOURNAL OF RADIATION SCIENCES	B1	
0037-9409	BULLETIN DE LA SOCIÉTÉ GÉOLOGIQUE DE FRANCE	A3	
1435-9537	BULLETIN OF ENGINEERING GEOLOGY AND THE ENVIRONMENT (INTERNET)	A2	
1435-9529	BULLETIN OF ENGINEERING GEOLOGY AND THE ENVIRONMENT (PRINT)	A2	
0007-4853	BULLETIN OF ENTOMOLOGICAL RESEARCH	A2	
0007-4861	BULLETIN OF ENVIRONMENTAL CONTAMINATION AND TOXICOLOGY	A4	
1214-1119	BULLETIN OF GEOSCIENCES (PRINT)	A3	
0007-4977	BULLETIN OF MARINE SCIENCE	A4	
0003-0007	BULLETIN OF THE AMERICAN METEOROLOGICAL SOCIETY	A1	
1520-0477	BULLETIN OF THE AMERICAN METEOROLOGICAL SOCIETY	A1	
1062-8738	BULLETIN OF THE RUSSIAN ACADEMY OF SCIENCES: PHYSICS	B3	
0037-1106	BULLETIN OF THE SEISMOLOGICAL SOCIETY OF AMERICA	A2	
0258-8900	BULLETIN OF VOLCANOLOGY (PRINT)	A3	
1938-288X	CACTUS AND SUCCULENT JOURNAL	C	
2318-2962	CADERNO DE GEOGRAFIA	A1	
0103-8427	CADERNO DE GEOGRAFIA (PUCMG. IMPRESSO)	A1	
2176-5774	CADERNO PRUDENTINO DE GEOGRAFIA	A3	
2674-5704	CADERNOS DE GÊNERO E TECNOLOGIA	B3	
2238-4960	CADERNOS DE GEOCIÊNCIAS	C	
1678-4464	CADERNOS DE SAÚDE PÚBLICA	A1	
1806-9118	CADERNOS DO LEPAARQ (UFPEL)	A2	
2316-8412	CADERNOS DO LEPAARQ (UFPEL)	A2	
1519-4639	CADERNOS GEOGRÁFICOS (UFSC)	B4	
1982-1816	CADERNOS UNIFOA (ONLINE)	B3	
0007-9723	CAHIERS DE BIOLOGIE MARINE	B2	
1678-6343	CAMINHOS DE GEOGRAFIA (UFU)	A1	
0705-2006	CANADIAN JOURNAL OF ARCHAEOLOGY	B3	
0008-4077	CANADIAN JOURNAL OF EARTH SCIENCES (PRINT)	A3	
0045-5067	CANADIAN JOURNAL OF FOREST RESEARCH (PRINT)	A2	
0008-4476	CANADIAN MINERALOGIST	A4	
0008-6223	CARBON (NEW YORK)	A1	
1878-5212	CARBONATES AND EVAPORITES	A4	
0891-2556	CARBONATES AND EVAPORITES	A4	
1634-0744	CARNETS DE GÉOLOGIE	B1	
1765-2553	CARNETS DE GÉOLOGIE (CÉDÉROM)	B1	
1844-489X	CARPATHIAN JOURNAL OF EARTH AND ENVIRONMENTAL SCIENCES	A4	
0008-7041	CARTOGRAPHIC JOURNAL	A4	
1011-372X	CATALYSIS LETTERS	A2	
0341-8162	CATENA (CREMLINGEN)	A1	
0958-9465	CEMENT & CONCRETE COMPOSITES	A1	
0008-8846	CEMENT AND CONCRETE RESEARCH	A1	
1678-4553	CERÂMICA	B1	
0366-6913	CERÂMICA (SÃO PAULO. IMPRESSO)	B1	
0104-7760	CERNE (UFLA)	B1	
1054-1500	CHAOS (WOODBURY, N.Y.)	A1	
1809-127X	CHECK LIST	B2	
1359-7345	CHEMICAL COMMUNICATIONS (LONDON. 1996. PRINT)	A1	
0263-8762	CHEMICAL ENGINEERING RESEARCH & DESIGN	A1	
0009-2541	CHEMICAL GEOLOGY	A1	
1451-9372	CHEMICAL INDUSTRY & CHEMICAL ENGINEERING QUARTERLY	A4	
0009-2819	CHEMIE DER ERDE	A2	
1612-1872	CHEMISTRY & BIODIVERSITY (PRINT)	A4	
0045-6535	CHEMOSPHERE (OXFORD)	A1	
2182-3030	CIDADES, COMUNIDADES E TERRITÓRIOS	A2	
1678-4561	CIÊNCIA & SAÚDE COLETIVA	A1	
0304-2685	CIÊNCIA & TROPICO	B3	
2447-3383	CIÊNCIA AGRÍCOLA	B4	
1981-1829	CIÊNCIA E AGROTECNOLOGIA (ONLINE)	A2	
1413-7054	CIÊNCIA E AGROTECNOLOGIA (UFLA)	A2	
2317-6660	CIÊNCIA E CULTURA	A1	
1909-7735	CIENCIA E INGENIERÍA NEOGRANADINA	B3	
0100-8307	CIÊNCIA E NATURA	A3	
1413-8123	CIÊNCIA E SAÚDE COLETIVA (IMPRESSO)	A1	
1980-5098	CIÊNCIA FLORESTAL (ONLINE)	B2	
0103-9954	CIÊNCIA FLORESTAL (UFSM. IMPRESSO)	B2	
1413-7461	CIÊNCIA GEOGRÁFICA	B1	
1678-4596	CIENCIA RURAL	A4	
0103-8478	CIÊNCIA RURAL (UFSM. IMPRESSO)	A4	
1984-5529	CIENTÍFICA	B4	
1014-9899	CIRAS DISCUSSION PAPER, NO. 90: LIFETIME OF URBAN, REGIONAL AND NATURAL SYSTEMS: EXAMINING EXAMPLES FROM BRAZIL AND JAPA	C	
0009-8558	CLAY MINERALS (PRINT)	A4	
1863-0650	CLEAN (WEINHEIM. PRINT)	A3	
2359-4705	CLIMACOM CULTURA CIENTÍFICA - PESQUISA, JORNALISMO E ARTE	B3	
0103-0019	CLIMANALISE (SÃO JOSÉ DOS CAMPOS)	C	
2225-1154	CLIMATE	A2	
2397-3722	CLIMATE AND ATMOSPHERIC SCIENCE	A1	
1756-5537	CLIMATE AND DEVELOPMENT	A1	
0930-7575	CLIMATE DYNAMICS	A1	
1814-9340	CLIMATE OF THE PAST DISCUSSIONS (PRINT)	B4	
1814-9324	CLIMATE OF THE PAST (PRINT)	A1	
0936-577X	CLIMATE RESEARCH	A2	
1616-1572	CLIMATE RESEARCH (INTERNET)	A2	
2405-8807	CLIMATE SERVICES	A1	
0165-0009	CLIMATIC CHANGE	A1	
1573-1480	CLIMATIC CHANGE (ONLINE)	A1	
0102-6003	CLIO ARQUEOLÓGICA	B1	
0578-5634	COASTAL ENGINEERING IN JAPAN	A2	
1809-6875	COFFEE SCIENCE	B3	
0165-232X	COLD REGIONS SCIENCE AND TECHNOLOGY	A2	
2399-3642	COMMUNICATIONS BIOLOGY	A2	
1532-2416	COMMUNICATIONS IN SOIL SCIENCE AND PLANT ANALYSIS	B1	
1585-8553	COMMUNITY ECOLOGY (PRINT)	B2	
1556-5068	COMPARATIVE LAW EJOURNAL	A1	
1631-0713	COMPTES RENDUS. GÉOSCIENCE	A2	
1631-0683	COMPTES RENDUS PALEVOL	A2	
0101-8205	COMPUTATIONAL & APPLIED MATHEMATICS	A4	
2196-4378	COMPUTATIONAL PARTICLE MECHANICS	A2	
2168-1570	COMPUTATIONAL WATER, ENERGY, AND ENVIRONMENTAL ENGINEERING	B4	
0045-7930	COMPUTERS & FLUIDS	A1	
0098-3004	COMPUTERS & GEOSCIENCES	A2	
0097-8493	COMPUTERS & GRAPHICS	A2	
0168-1699	COMPUTERS AND ELECTRONICS IN AGRICULTURE	A1	
0266-352X	COMPUTERS AND GEOTECHNICS	A1	
0873-948X	COMUNICAÇÕES GEOLÓGICAS	B1	
2176-7777	CONEXÃO SIPAER	C	
1958-9212	CONFINS (PARIS)	A1	
2237-8049	CONHECIMENTO & DIVERSIDADE	B1	
1413-1536	CONJUNTURA & PLANEJAMENTO	B1	
0888-8892	CONSERVATION BIOLOGY	A1	
2578-4854	CONSERVATION SCIENCE AND PRACTICE	B1	
0950-0618	CONSTRUCTION & BUILDING MATERIALS	A1	
1807-6440	CONTEXTURA (UFMG)	B3	
0278-4343	CONTINENTAL SHELF RESEARCH	A2	
1669-953X	CONTRA/RELATOS DESDE EL SUR	B4	
0010-7999	CONTRIBUTIONS TO MINERALOGY AND PETROLOGY	A1	
0973-2136	COORDINATES MAGAZINE	C	
1432-0975	CORAL REEFS (ONLINE)	A1	
0722-4028	CORAL REEFS (PRINT)	A1	
2304-0963	COSTAS: REVISTA IBEROAMERICANA DE MANEJO COSTERO INTEGRADO	B2	
0195-6671	CRETACEOUS RESEARCH (PRINT)	A2	
0011-216X	CRUSTACEANA (LEIDEN. PRINT)	B2	
0213-4497	CUADERNOS DO LABORATORIO XEOLÓXICO DE LAXE	B3	
1516-358X	CULTIVAR GRANDES CULTURAS	C	
0104-1010	CULTURA AGRONOMICA (UNESP. ILHA SOLTEIRA)	B4	
1573-4110	CURRENT ANALYTICAL CHEMISTRY	B1	
0960-9822	CURRENT BIOLOGY	A1	
2198-6061	CURRENT CLIMATE CHANGE REPORTS	A1	
0343-8651	CURRENT MICROBIOLOGY (PRINT)	B1	
1877-3435	CURRENT OPINION IN ENVIRONMENTAL SUSTAINABILITY (PRINT)	A1	
2198-6592	CURRENT POLLUTION REPORTS (ONLINE)	A1	
0399-0974	CYBIUM (PARIS)	B2	
2526-1789	DATJOURNAL DESIGN ART AND TECHNOLOGY	A4	
2175-6600	DEBATES EM EDUCAÇÃO	A2	
0967-0637	DEEP-SEA RESEARCH. PART 1. OCEANOGRAPHIC RESEARCH PAPERS	A1	
0967-0645	DEEP-SEA RESEARCH. PART 2. TROPICAL STUDIES IN OCEANOGRAPHY	A1	
1662-9507	DEFECT AND DIFFUSION FORUM	B2	
2176-9109	DESENVOLVIMENTO E MEIO AMBIENTE	B2	
2596-2183	DIÁLOGOS SOCIOAMBIENTAIS NA MACROMETRÓPOLE PAULISTA	B4	
0269-249X	DIATOM RESEARCH	B1	
2164-6376	DISCONTINUITY, NONLINEARITY AND COMPLEXITY	B2	
