ISSN	Titulo	Estrato	Classificação
2178-2229	CADERNOS DE PESQUISA - UNIVERSIDADE FEDERAL DO MARANHÃO	B4	
0100-1574	CADERNOS DE PESQUISA (FUNDAÇÃO CARLOS CHAGAS. IMPRESSO)	B2	
1980-5314	CADERNOS DE PESQUISA (FUNDAÇÃO CARLOS CHAGAS. ONLINE)	B2	
1980-9700	CADERNOS DE PESQUISA: PENSAMENTO EDUCACIONAL (CURITIBA. IMPRESSO)	B4	
2175-2613	CADERNOS DE PESQUISA: PENSAMENTO EDUCACIONAL (CURITIBA. ONLINE)	B4	
1809-4139	CADERNOS DE PÓS GRADUAÇÃO EM DISTÚRBIOS DO DESENVOLVIMENTO (ONLINE)	B4	
1678-4464	CADERNOS DE SAÚDE PÚBLICA	A2	
1678-4464	CADERNOS DE SAÚDE PÚBLICA	A2	
0102-311X	CADERNOS DE SAÚDE PÚBLICA (ENSP. IMPRESSO)	A2	
0104-4931	CADERNOS DE TERAPIA OCUPACIONAL DA UFSCAR	B1	
2238-2860	CADERNOS DE TERAPIA OCUPACIONAL DA UFSCAR (ONLINE)	B1	
0103-6041	CADERNOS DO APLICAÇÃO (UFRGS)	B5	
1982-5447	CADERNOS GESTÃO SOCIAL	B4	
0104-8333	CADERNOS PAGU (UNICAMP. IMPRESSO)	B3	
2358-291X	CADERNOS SAÚDE COLETIVA	B2	
1414-462X	CADERNOS SAÚDE COLETIVA (UFRJ)	B2	
2236-4099	CADERNOS ZIGMUNT BAUMAN	B4	
1517-3038	CAMINHOS (UFMG)	B5	
0828-282X	CANADIAN JOURNAL OF CARDIOLOGY	A2	
2291-2789	CANADIAN JOURNAL OF GASTROENTEROLOGY AND HEPATOLOGY	B1	
0008-4174	CANADIAN JOURNAL OF OCCUPATIONAL THERAPY (1939)	A1	
1205-7541	CANADIAN JOURNAL OF PHYSIOLOGY AND PHARMACOLOGY (ONLINE)	B2	
0008-4212	CANADIAN JOURNAL OF PHYSIOLOGY AND PHARMACOLOGY (PRINT)	B2	
1195-2199	CANADIAN JOURNAL OF PLASTIC SURGERY	B2	
1421-9751	CARDIOLOGY	B2	
1047-9511	CARDIOLOGY IN THE YOUNG	B1	
1897-5593	CARDIOLOGY JOURNAL (PRINT)	B1	
1475-2840	CARDIOVASCULAR DIABETOLOGY (ONLINE)	A1	
1054-8807	CARDIOVASCULAR PATHOLOGY	B1	
2329-6607	CARDIOVASCULAR PHARMACOLOGY: OPEN ACCESS	B5	
0008-6363	CARDIOVASCULAR RESEARCH	A1	
1476-7120	CARDIOVASCULAR ULTRASOUND	B2	
2090-6765	CASE REPORTS IN OTOLARYNGOLOGY	B1	
2090-6684	CASE REPORTS OBSTET GYNECOL	B2	
2179-4588	CCNEXT - REVISTA DE EXTENSÃO DA UFSM	B5	
0302-766X	CELL AND TISSUE RESEARCH (PRINT)	B1	
0263-6484	CELL BIOCHEMISTRY AND FUNCTION	B2	
1099-0844	CELL BIOCHEMISTRY AND FUNCTION (ONLINE)	B2	
1355-8145	CELL STRESS & CHAPERONES (PRINT)	B1	
0963-6897	CELL TRANSPLANTATION	B1	
1422-6421	CELLS TISSUES ORGANS (ONLINE)	B2	
1420-682X	CELLULAR AND MOLECULAR LIFE SCIENCES (PRINTED ED.)	A2	
1015-8987	CELLULAR PHYSIOLOGY AND BIOCHEMISTRY	A2	
1421-9778	CELLULAR PHYSIOLOGY AND BIOCHEMISTRY (ONLINE)	A2	
1519-275X	CENA. UFRGS	B5	
0333-1024	CEPHALALGIA (OSLO)	A1	
0009-2797	CHEMICO-BIOLOGICAL INTERACTIONS (PRINT)	B1	
0012-3692	CHEST (AMERICAN COLLEGE OF CHEST PHYSICIANS)	A1	
0305-1862	CHILD CARE HEALTH AND DEVELOPMENT (PRINT)	A2	
0929-7049	CHILD NEUROPSYCHOLOGY	B1	
