ISSN	Titulo	Estrato	Classificação
0101-4714	ANAIS DO MUSEU PAULISTA: HISTÓRIA, CULTURA E MATERIAL (IMPRESSO)	A1	
1618-2642	ANALYTICAL AND BIOANALYTICAL CHEMISTRY (PRINT)	A2	
0003-2700	ANALYTICAL CHEMISTRY (WASHINGTON)	A1	
0003-2719	ANALYTICAL LETTERS	B1	
1759-9679	ANALYTICAL METHODS	A1	
1759-9660	ANALYTICAL METHODS	A1	
1432-0576	ANNALES GEOPHYSICAE	A3	
1590-4261	ANNALS OF MICROBIOLOGY	B1	
0306-4549	ANNALS OF NUCLEAR ENERGY	A2	
1367-5788	ANNUAL REVIEWS IN CONTROL	A1	
2213-3054	ANTHROPOCENE	A1	
1982-3908	ANUÁRIO DO INSTITUTO DE GEOCIÊNCIAS (ONLINE)	B2	
0101-9759	ANUÁRIO DO INSTITUTO DE GEOCIÊNCIAS (UFRJ. IMPRESSO)	B2	
0003-682X	APPLIED ACOUSTICS	A2	
0883-9514	APPLIED ARTIFICIAL INTELLIGENCE	B2	
0273-2289	APPLIED BIOCHEMISTRY AND BIOTECHNOLOGY	A2	
1559-0291	APPLIED BIOCHEMISTRY AND BIOTECHNOLOGY (ONLINE)	A2	
0926-860X	APPLIED CATALYSIS. A, GENERAL (PRINT)	A1	
0926-3373	APPLIED CATALYSIS. B, ENVIRONMENTAL (PRINT)	A1	
0169-1317	APPLIED CLAY SCIENCE (PRINT)	A1	
0306-2619	APPLIED ENERGY	A1	
0883-8542	APPLIED ENGINEERING IN AGRICULTURE	A4	
0003-6870	APPLIED ERGONOMICS	A1	
0143-6228	APPLIED GEOGRAPHY (SEVENOAKS)	A1	
1866-9298	APPLIED GEOMATICS	A3	
0307-904X	APPLIED MATHEMATICAL MODELLING	A1	
2152-7393	APPLIED MATHEMATICS	C	
0096-3003	APPLIED MATHEMATICS AND COMPUTATION	A2	
0893-9659	APPLIED MATHEMATICS LETTERS	A2	
1432-0614	APPLIED MICROBIOLOGY AND BIOTECHNOLOGY	A2	
2364-8228	APPLIED NETWORK SCIENCE	A3	
0141-1187	APPLIED OCEAN RESEARCH	A2	
0268-2605	APPLIED ORGANOMETALLIC CHEMISTRY	A2	
0969-8043	APPLIED RADIATION AND ISOTOPES	A2	
1617-8106	APPLIED RHEOLOGY	B1	
1430-6395	APPLIED RHEOLOGY (PRINT)	B1	
2076-3417	APPLIED SCIENCES	A3	
1568-4946	APPLIED SOFT COMPUTING (PRINT)	A1	
0929-1393	APPLIED SOIL ECOLOGY (PRINT)	A1	
1874-463X	APPLIED SPATIAL ANALYSIS AND POLICY	A3	
0003-7028	APPLIED SPECTROSCOPY	A2	
0570-4928	APPLIED SPECTROSCOPY REVIEWS (SOFTCOVER ED.)	A1	
0035-9254	APPLIED STATISTICS (PRINT)	A2	
0169-4332	APPLIED SURFACE SCIENCE	A1	
1359-4311	APPLIED THERMAL ENGINEERING	A1	
2190-5495	APPLIED WATER SCIENCE	A3	
0003-7214	AQUA (LONDON. PRINT)	B1	
0044-8486	AQUACULTURE (AMSTERDAM)	A1	
2352-5134	AQUACULTURE REPORTS	A2	
1386-2588	AQUATIC ECOLOGY (PRINT)	A2	
0166-445X	AQUATIC TOXICOLOGY	A1	
2193-567X	ARABIAN JOURNAL FOR SCIENCE AND ENGINEERING (IMPRESSO)	A2	
1878-5352	ARABIAN JOURNAL OF CHEMISTRY	A1	
1866-7511	ARABIAN JOURNAL OF GEOSCIENCES (PRINT)	A4	
1745-2007	ARCHITECTURAL ENGINEERING AND DESIGN MANAGEMENT	A1	
1899-0142	ARCHITECTURE ¿ CIVIL ENGINEERING ¿ ENVIRONMENT - ACEE	B3	
1886-4805	ARCHITECTURE, CITY AND ENVIRONMENT	B1	
0365-0340	ARCHIVES OF AGRONOMY AND SOIL SCIENCE	A2	
2054-7404	ARCHIVES OF BUSINESS RESEARCH	A3	
1644-9665	ARCHIVES OF CIVIL AND MECHANICAL ENGINEERING	A1	
2300-3103	ARCHIVES OF CIVIL ENGINEERING	B1	
1134-3060	ARCHIVES OF COMPUTATIONAL METHODS IN ENGINEERING	A1	
1933-8244	ARCHIVES OF ENVIRONMENTAL & OCCUPATIONAL HEALTH	B1	
