Title,Type,ISSN,ISSN_A,ISSN_B,SJR,HINDEX,JCR
Youth Justice,journal,14732254,14732254,,0.726,38,0.726
American Journal of Tropical Medicine and Hygiene,journal,"14761645, 00029637",14761645, 00029637,0.726,173,0.726
Carbon Management,journal,"17583012, 17583004",17583012, 17583004,0.726,52,0.726
Chemical Methodologies,journal,"26457776, 25884344",26457776, 25884344,0.726,21,0.726
Current Pathobiology Reports,journal,2167485X,2167485X,,0.726,36,0.726
Current Vascular Pharmacology,journal,"15701611, 18756212",15701611, 18756212,0.726,71,0.726
Healthcare Informatics Research,journal,"2093369X, 20933681",2093369X, 20933681,0.726,47,0.726
Human and Experimental Toxicology,journal,09603271,09603271,,0.726,95,0.726
Journal of Mental Health Research in Intellectual Disabilities,journal,"19315872, 19315864",19315872, 19315864,0.726,34,0.726
Legal and Criminological Psychology,journal,"13553259, 20448333",13553259, 20448333,0.726,66,0.726
Measuring Business Excellence,journal,13683047,13683047,,0.726,56,0.726
Open Journal of Astrophysics,journal,25656120,25656120,,0.726,9,0.726
Journal of Neuroscience Methods,journal,"1872678X, 01650270",1872678X, 01650270,0.726,180,0.726
Annals of GIS,journal,"19475691, 19475683",19475691, 19475683,0.725,44,0.725
Environmental Archaeology,journal,14614103,14614103,,0.725,37,0.725
IEEE Transactions on Computer-Aided Design of Integrated Circuits and Systems,journal,02780070,02780070,,0.725,136,0.725
Veterinary Dermatology,journal,"09594493, 13653164",09594493, 13653164,0.725,74,0.725
Drug Metabolism and Pharmacokinetics,journal,"13474367, 18800920",13474367, 18800920,0.725,78,0.725
Immunopharmacology and Immunotoxicology,journal,"15322513, 08923973",15322513, 08923973,0.725,63,0.725
International Journal of Public Administration,journal,"15324265, 01900692",15324265, 01900692,0.725,61,0.725
Journal of Clinical Psychopharmacology,journal,"1533712X, 02710749",1533712X, 02710749,0.725,135,0.725
Optimization Methods and Software,journal,"10294937, 10556788",10294937, 10556788,0.725,70,0.725
Pediatric Clinics of North America,journal,"00313955, 15578240",00313955, 15578240,0.725,108,0.725
Quarterly Review of Economics and Finance,journal,10629769,10629769,,0.725,71,0.725
Annals of Rehabilitation Medicine,journal,"22340653, 22340645",22340653, 22340645,0.724,47,0.724
Apidologie,journal,"12979678, 00448435",12979678, 00448435,0.724,105,0.724
Discover Sustainability,journal,26629984,26629984,,0.724,18,0.724
Integral Equations and Operator Theory,journal,"14208989, 0378620X",14208989, 0378620X,0.724,54,0.724
Journal of Manufacturing and Materials Processing,journal,25044494,25044494,,0.724,42,0.724
Journal of Teaching in Physical Education,journal,"02735024, 15432769",02735024, 15432769,0.724,73,0.724
Limnology and Oceanography: Methods,journal,15415856,15415856,,0.724,92,0.724
Orthopaedic Surgery,journal,"17577853, 17577861",17577853, 17577861,0.724,46,0.724
Chinese Optics Letters,journal,16717694,16717694,,0.724,49,0.724
Expert Review of Hematology,journal,"17474086, 17474094",17474086, 17474094,0.724,58,0.724
Infectious Disease Modelling,journal,"24682152, 24680427",24682152, 24680427,0.724,38,0.724
Journal of Geodynamics,journal,02643707,02643707,,0.724,91,0.724
Photodiagnosis and Photodynamic Therapy,journal,"18731597, 15721000",18731597, 15721000,0.724,73,0.724
Biology Open,journal,20466390,20466390,,0.723,61,0.723
BMC Veterinary Research,journal,17466148,17466148,,0.723,86,0.723
International Journal of Food Science and Technology,journal,"09505423, 13652621",09505423, 13652621,0.723,127,0.723
Journal of Loss Prevention in the Process Industries,journal,09504230,09504230,,0.723,110,0.723
Journal of Plant Interactions,journal,"17429153, 17429145",17429153, 17429145,0.723,71,0.723
Library Quarterly,journal,"00242519, 1549652X",00242519, 1549652X,0.723,47,0.723
Metacritic Journal for Comparative Studies and Theory,journal,24578827,24578827,,0.723,6,0.723
Teaching Mathematics and its Applications,journal,"14716976, 02683679",14716976, 02683679,0.723,25,0.723
Asian Nursing Research,journal,"20937482, 19761317",20937482, 19761317,0.723,45,0.723
CardioRenal Medicine,journal,"16645502, 16643828",16645502, 16643828,0.723,31,0.723
Clinical Pharmacology: Advances and Applications,journal,11791438,11791438,,0.723,37,0.723
Emergent Materials,journal,"2522574X, 25225731",2522574X, 25225731,0.723,38,0.723
Israel Journal of Chemistry,journal,"18695868, 00212148",18695868, 00212148,0.723,67,0.723
JMIR Formative Research,journal,2561326X,2561326X,,0.723,31,0.723
Journal of Number Theory,journal,"10961658, 0022314X",10961658, 0022314X,0.723,53,0.723
Nutrition in Clinical Practice,journal,"19412452, 08845336",19412452, 08845336,0.723,94,0.723
Public Health Nursing,journal,"07371209, 15251446",07371209, 15251446,0.723,63,0.723
Stem Cells and Development,journal,15473287,15473287,,0.723,138,0.723
Biotropica,journal,"17447429, 00063606",17447429, 00063606,0.722,113,0.722
Children and Society,journal,"09510605, 10990860",09510605, 10990860,0.722,72,0.722
International Feminist Journal of Politics,journal,14616742,14616742,,0.722,61,0.722
Methodology,journal,"16142241, 16141881",16142241, 16141881,0.722,40,0.722
Porn Studies,journal,"23268743, 23268751",23268743, 23268751,0.722,24,0.722
SIAM Journal on Applied Dynamical Systems,journal,15360040,15360040,,0.722,71,0.722
Swiss Journal of Geosciences,journal,"16618734, 16618726",16618734, 16618726,0.722,69,0.722
Topics in Language Disorders,journal,"15503259, 02718294",15503259, 02718294,0.722,54,0.722
Veterinary Anaesthesia and Analgesia,journal,"14672995, 14672987",14672995, 14672987,0.722,67,0.722
Young,journal,11033088,11033088,,0.722,41,0.722
Critical Perspectives on International Business,journal,17422043,17422043,,0.722,38,0.722
Current Cancer Drug Targets,journal,"15680096, 18735576",15680096, 18735576,0.722,106,0.722
International Journal of Gynecological Pathology,journal,"15387151, 02771691",15387151, 02771691,0.722,89,0.722
Performance Enhancement and Health,journal,22112669,22112669,,0.722,27,0.722
PPAR Research,journal,"16874757, 16874765",16874757, 16874765,0.722,62,0.722
Advances in Structural Engineering,journal,13694332,13694332,,0.721,62,0.721
Asian Business and Management,journal,"14724782, 14769328",14724782, 14769328,0.721,36,0.721
Canadian Journal of Mathematics,journal,"0008414X, 14964279",0008414X, 14964279,0.721,48,0.721
"Community, Work and Family",journal,"14693615, 13668803",14693615, 13668803,0.721,55,0.721
Journal of Insect Physiology,journal,"00221910, 18791611",00221910, 18791611,0.721,119,0.721
Journal of International Migration and Integration,journal,14883473,14883473,,0.721,38,0.721
Journal of Police and Criminal Psychology,journal,"19366469, 08820783",19366469, 08820783,0.721,38,0.721
JTCVS Open,journal,26662736,26662736,,0.721,15,0.721
Library and Information Science Research,journal,07408188,07408188,,0.721,70,0.721
Pedobiologia,journal,"00314056, 18731511",00314056, 18731511,0.721,82,0.721
Rural Sociology,journal,"00360112, 15490831",00360112, 15490831,0.721,82,0.721
Current Treatment Options in Neurology,journal,"10928480, 15343138",10928480, 15343138,0.721,61,0.721
Functional and Integrative Genomics,journal,"14387948, 1438793X",14387948, 1438793X,0.721,89,0.721
Journal of Clinical Tuberculosis and Other Mycobacterial Diseases,journal,24055794,24055794,,0.721,25,0.721
Nursing Reports,journal,"20394403, 2039439X",20394403, 2039439X,0.721,16,0.721
Advances in Bridge Engineering,journal,26625407,26625407,,0.72,15,0.72
Behavioral Disorders,journal,01987429,01987429,,0.72,51,0.72
Foot and Ankle Clinics,journal,"15581934, 10837515",15581934, 10837515,0.72,69,0.72
"Gender, Place and Culture",journal,"0966369X, 13600524",0966369X, 13600524,0.72,86,0.72
Journal of Infrastructure Preservation and Resilience,journal,26622521,26622521,,0.72,17,0.72
Social Neuroscience,journal,"17470919, 17470927",17470919, 17470927,0.72,85,0.72
Tourism and Hospitality Research,journal,"14673584, 17429692",14673584, 17429692,0.72,57,0.72
Biochimica et Biophysica Acta - Proteins and Proteomics,journal,"15709639, 18781454",15709639, 18781454,0.72,170,0.72
BMC Ophthalmology,journal,14712415,14712415,,0.72,67,0.72
Clinical Journal of Sport Medicine,journal,"15363724, 1050642X",15363724, 1050642X,0.72,121,0.72
"Drug, Healthcare and Patient Safety",journal,11791365,11791365,,0.72,32,0.72
Epidemiology and Infection,journal,"14694409, 09502688",14694409, 09502688,0.72,128,0.72
Health Policy and Technology,journal,"22118845, 22118837",22118845, 22118837,0.72,43,0.72
Infectious Medicine,journal,"2772431X, 20970684",2772431X, 20970684,0.72,9,0.72
International Journal of Pressure Vessels and Piping,journal,03080161,03080161,,0.72,96,0.72
Journal of Pharmacy and Pharmaceutical Sciences,journal,14821826,14821826,,0.72,92,0.72
Transformation Groups,journal,"1531586X, 10834362",1531586X, 10834362,0.72,39,0.72
Current Opinion in Endocrine and Metabolic Research,journal,24519650,24519650,,0.72,22,0.72
Frontiers in Systems Biology,journal,26740702,26740702,,0.719,8,0.719
Invertebrate Systematics,journal,"14472600, 14455226",14472600, 14455226,0.719,60,0.719
Journal of Music Teacher Education,journal,"19450079, 10570837",19450079, 10570837,0.719,26,0.719
PeerJ Computer Science,journal,23765992,23765992,,0.719,59,0.719
Profesional de la Informacion,journal,"16992407, 13866710",16992407, 13866710,0.719,50,0.719
Rehabilitation Psychology,journal,"00905550, 19391544",00905550, 19391544,0.719,83,0.719
Social Work in Health Care,journal,"00981389, 1541034X",00981389, 1541034X,0.719,54,0.719
Europe's Journal of Psychology,journal,18410413,18410413,,0.719,39,0.719
Frontiers in Robotics and AI,journal,22969144,22969144,,0.719,68,0.719
Journal of Electromyography and Kinesiology,journal,"18735711, 10506411",18735711, 10506411,0.719,117,0.719
Journal of International Entrepreneurship,journal,15707385,15707385,,0.719,60,0.719
"Journal of Public Budgeting, Accounting and Financial Management",journal,"10963367, 19451814",10963367, 19451814,0.719,28,0.719
World Journal of Gastrointestinal Oncology,journal,19485204,19485204,,0.719,46,0.719
Applied Psychological Measurement,journal,"01466216, 15523497",01466216, 15523497,0.718,77,0.718
Behavioral Sciences,journal,2076328X,2076328X,,0.718,52,0.718
Environmental Research: Infrastructure and Sustainability,journal,26344505,26344505,,0.718,15,0.718
Experimental Mathematics,journal,"10586458, 1944950X",10586458, 1944950X,0.718,39,0.718
Journal of Social Entrepreneurship,journal,"19420684, 19420676",19420684, 19420676,0.718,44,0.718
Monist,journal,"00269662, 21533601",00269662, 21533601,0.718,38,0.718
PET Clinics,journal,"15568598, 18799809",15568598, 18799809,0.718,37,0.718
Reading in a Foreign Language,journal,15390578,15390578,,0.718,11,0.718
Journal of the Formosan Medical Association,journal,"09296646, 18760821",09296646, 18760821,0.718,75,0.718
Toxicology in Vitro,journal,"18793177, 08872333",18793177, 08872333,0.718,134,0.718
ChemMedChem,journal,"18607187, 18607179",18607187, 18607179,0.717,123,0.717
"Journal of Human, Earth, and Future",journal,27852997,27852997,,0.717,19,0.717
Juridicas CUC,journal,"23897716, 16923030",23897716, 16923030,0.717,7,0.717
Pakistan Veterinary Journal,journal,02538318,02538318,,0.717,40,0.717
Planning Practice and Research,journal,"13600583, 02697459",13600583, 02697459,0.717,56,0.717
Probation Journal,journal,"17413079, 02645505",17413079, 02645505,0.717,39,0.717
Reading Psychology,journal,"02702711, 15210685",02702711, 15210685,0.717,48,0.717
Research on Social Work Practice,journal,"10497315, 15527581",10497315, 15527581,0.717,79,0.717
Surgical Pathology Clinics,journal,"18759157, 18759181",18759157, 18759181,0.717,37,0.717
International Journal of Information Technology (Singapore),journal,"25112104, 25112112",25112104, 25112112,0.717,46,0.717
Journal of Pharmacy and Pharmacology,journal,"20427158, 00223573",20427158, 00223573,0.717,142,0.717
SPE Journal,journal,1086055X,1086055X,,0.717,162,0.717
World Journal of Orthopedics,journal,22185836,22185836,,0.717,64,0.717
ACM Transactions on Privacy and Security,journal,"24712566, 24712574",24712566, 24712574,0.716,30,0.716
Canadian Slavonic Papers,journal,00085006,00085006,,0.716,16,0.716
Current Problems in Surgery,journal,"15356337, 00113840",15356337, 00113840,0.716,51,0.716
General Relativity and Gravitation,journal,"00017701, 15729532",00017701, 15729532,0.716,104,0.716
Geological Magazine,journal,"14695081, 00167568",14695081, 00167568,0.716,97,0.716
Human Nature,journal,"19364776, 10456767",19364776, 10456767,0.716,83,0.716
"IEEE Transactions on Components, Packaging and Manufacturing Technology",journal,21563950,21563950,,0.716,119,0.716
Journal of Advanced Joining Processes,journal,26663309,26663309,,0.716,23,0.716
Journal of Cardiovascular Development and Disease,journal,23083425,23083425,,0.716,37,0.716
Journal of Shoulder and Elbow Arthroplasty,journal,24715492,24715492,,0.716,8,0.716
Psychoanalytic Quarterly,journal,"00332828, 21674086",00332828, 21674086,0.716,47,0.716
Analytical and Bioanalytical Chemistry,journal,"16182642, 16182650",16182642, 16182650,0.716,206,0.716
Archives of Cardiovascular Diseases,journal,"18752136, 18752128",18752136, 18752128,0.716,65,0.716
Biomedical Materials (Bristol),journal,"17486041, 1748605X",17486041, 1748605X,0.716,94,0.716
Journal of Blood Medicine,journal,11792736,11792736,,0.716,32,0.716
Journal of Eukaryotic Microbiology,journal,"10665234, 15507408",10665234, 15507408,0.716,91,0.716
Journal of Food Science and Technology,journal,"00221155, 09758402",00221155, 09758402,0.716,120,0.716
Journal of Non-Crystalline Solids,journal,"00223093, 18734812",00223093, 18734812,0.716,172,0.716
Journal of Supercomputing,journal,"15730484, 09208542",15730484, 09208542,0.716,92,0.716
Nano-Structures and Nano-Objects,journal,2352507X,2352507X,,0.716,57,0.716
Ultramicroscopy,journal,"03043991, 18792723",03043991, 18792723,0.716,142,0.716
Contributions to Zoology,journal,13834517,13834517,,0.715,41,0.715
Counselor Education and Supervision,journal,"00110035, 15566978",00110035, 15566978,0.715,50,0.715
Facial Plastic Surgery and Aesthetic Medicine,journal,"26893622, 26893614",26893622, 26893614,0.715,78,0.715
Archives of Clinical Neuropsychology,journal,"08876177, 18735843",08876177, 18735843,0.715,119,0.715
Canadian Journal of Infectious Diseases and Medical Microbiology,journal,"17129532, 19181493",17129532, 19181493,0.715,51,0.715
Corporate Communications,journal,13563289,13563289,,0.715,73,0.715
Gems and Gemology,journal,0016626X,0016626X,,0.715,36,0.715
Health (United Kingdom),journal,"13634593, 14617196",13634593, 14617196,0.715,65,0.715
Journal of Holistic Nursing,journal,"15525724, 08980101",15525724, 08980101,0.715,50,0.715
Journal of Neurosurgical Anesthesiology,journal,"15371921, 08984921",15371921, 08984921,0.715,74,0.715
Rheumatology Advances in Practice,journal,25141775,25141775,,0.715,20,0.715
City,journal,"13604813, 14703629",13604813, 14703629,0.714,70,0.714
Depositional Record,journal,20554877,20554877,,0.714,20,0.714
EMA - Emergency Medicine Australasia,journal,"17426731, 17426723",17426731, 17426723,0.714,66,0.714
Leadership and Policy in Schools,journal,"15700763, 17445043",15700763, 17445043,0.714,29,0.714
Operative Dentistry,journal,"03617734, 15592863",03617734, 15592863,0.714,96,0.714
Behavioral Research in Accounting,journal,"15588009, 10504753",15588009, 10504753,0.714,34,0.714
Free Neuropathology,journal,26994445,26994445,,0.714,9,0.714
Healthcare Technology Letters,journal,20533713,20533713,,0.714,38,0.714
International braz j urol : official journal of the Brazilian Society of Urology,journal,"16776119, 16775538",16776119, 16775538,0.714,51,0.714
International Journal of Fuzzy Systems,journal,"15622479, 21993211",15622479, 21993211,0.714,67,0.714
Pathology and Oncology Research,journal,"15322807, 12194956",15322807, 12194956,0.714,64,0.714
Energies,journal,19961073,19961073,,0.713,175,0.713
Energy Geoscience,journal,26667592,26667592,,0.713,26,0.713
Integrative and Comparative Biology,journal,"15577023, 15407063",15577023, 15407063,0.713,144,0.713
Metallurgical and Materials Transactions A: Physical Metallurgy and Materials Science,journal,"10735623, 15431940",10735623, 15431940,0.713,196,0.713
American Journal of Perinatology,journal,"10988785, 07351631",10988785, 07351631,0.713,87,0.713
Chemical Senses,journal,"0379864X, 14643553",0379864X, 14643553,0.713,117,0.713
Epileptic Disorders,journal,"19506945, 12949361",19506945, 12949361,0.713,67,0.713
Evolutionary Computation,journal,"15309304, 10636560",15309304, 10636560,0.713,93,0.713
Food Science and Biotechnology,journal,"20926456, 12267708",20926456, 12267708,0.713,69,0.713
Global Health Science and Practice,journal,2169575X,2169575X,,0.713,48,0.713
Human and Ecological Risk Assessment,journal,"10807039, 15497860",10807039, 15497860,0.713,92,0.713
Journal of Developmental and Life-Course Criminology,journal,"21994641, 2199465X",21994641, 2199465X,0.712,23,0.712
Journal of Information Technology Education: Research,journal,"15393585, 15479714",15393585, 15479714,0.712,38,0.712
Journal of Mass Spectrometry and Advances in the Clinical Lab,journal,"2667145X, 26671468",2667145X, 26671468,0.712,20,0.712
Numerical Mathematics,journal,"20797338, 10048979",20797338, 10048979,0.712,28,0.712
Political Theory,journal,"00905917, 15527476",00905917, 15527476,0.712,73,0.712
Current Transplantation Reports,journal,21963029,21963029,,0.712,30,0.712
Journal of Artificial Intelligence and Technology,journal,27668649,27668649,,0.712,19,0.712
Journal of Gene Medicine,journal,"1099498X, 15212254",1099498X, 15212254,0.712,102,0.712
Journal of Intensive Medicine,journal,"2667100X, 20970250",2667100X, 20970250,0.712,11,0.712
Journal of Natural Fibers,journal,"1544046X, 15440478",1544046X, 15440478,0.712,65,0.712
Peer-to-Peer Networking and Applications,journal,"19366450, 19366442",19366450, 19366442,0.712,55,0.712
"Brain, Behavior and Evolution",journal,"14219743, 00068977",14219743, 00068977,0.712,86,0.712
Action Research,journal,14767503,14767503,,0.711,51,0.711
Aslib Journal of Information Management,journal,"20503806, 20503814",20503806, 20503814,0.711,54,0.711
Online Journal of Issues in Nursing,journal,10913734,10913734,,0.711,54,0.711
Blood Transfusion,journal,17232007,17232007,,0.711,65,0.711
BMJ Open Science,journal,23988703,23988703,,0.711,14,0.711
Expert Review of Medical Devices,journal,17434440,17434440,,0.711,84,0.711
Infezioni in Medicina,journal,11249390,11249390,,0.711,36,0.711
International Journal of Information Systems and Project Management,journal,"21827788, 21827796",21827788, 21827796,0.711,25,0.711
Journal of Anesthesia,journal,"14388359, 09138668",14388359, 09138668,0.711,61,0.711
Asia Pacific Viewpoint,journal,"14678373, 13607456",14678373, 13607456,0.71,48,0.71
International Journal of Prosthodontics,journal,"19424426, 08932174",19424426, 08932174,0.71,110,0.71
Journal of Classification,journal,"01764268, 14321343",01764268, 14321343,0.71,49,0.71
Journal of Marital and Family Therapy,journal,"17520606, 0194472X",17520606, 0194472X,0.71,80,0.71
Oceanologia,journal,"23007370, 00783234",23007370, 00783234,0.71,52,0.71
Plant Pathology,journal,"00320862, 13653059",00320862, 13653059,0.71,106,0.71
Balkan Medical Journal,journal,"21463123, 21463131",21463123, 21463131,0.71,31,0.71
CNS and Neurological Disorders - Drug Targets,journal,"18715273, 19963181",18715273, 19963181,0.71,101,0.71
Folia Microbiologica,journal,"18749356, 00155632",18749356, 00155632,0.71,64,0.71
Foot and Ankle Orthopaedics,journal,24730114,24730114,,0.71,14,0.71
Frontiers in Neuroinformatics,journal,16625196,16625196,,0.71,83,0.71
Italian Journal of Marketing,journal,"26623323, 26623331",26623323, 26623331,0.71,14,0.71
Medicina (Lithuania),journal,"1010660X, 16489144",1010660X, 16489144,0.71,73,0.71
Molecular Biology Reports,journal,"03014851, 15734978",03014851, 15734978,0.71,96,0.71
Neurology Research International,journal,"20901860, 20901852",20901860, 20901852,0.71,42,0.71
Research and Reports in Urology,journal,22532447,22532447,,0.71,32,0.71
Water Emerging Contaminants and Nanoplastics,journal,28312597,28312597,,0.71,9,0.71
Canadian Journal of Emergency Medicine,journal,14818035,14818035,,0.709,58,0.709
Continental Shelf Research,journal,"02784343, 18736955",02784343, 18736955,0.709,135,0.709
Earth (Switzerland),journal,26734834,26734834,,0.709,20,0.709
Journal of the Society for Social Work and Research,journal,"1948822X, 23342315",1948822X, 23342315,0.709,31,0.709
Neuroethics,journal,"18745490, 18745504",18745490, 18745504,0.709,42,0.709
Reviews in Inorganic Chemistry,journal,"01934929, 21910227",01934929, 21910227,0.709,32,0.709
Canadian Journal of Behavioural Science,journal,"0008400X, 18792669",0008400X, 18792669,0.709,65,0.709
Cancer Management and Research,journal,11791322,11791322,,0.709,74,0.709
Electrochem,journal,26733293,26733293,,0.709,21,0.709
Infectious Agents and Cancer,journal,17509378,17509378,,0.709,50,0.709
Infectious Disease Reports,journal,"20367449, 20367430",20367449, 20367430,0.709,30,0.709
International Journal of Cardiology: Cardiovascular Risk and Prevention,journal,27724875,27724875,,0.709,15,0.709
Surgeon,journal,1479666X,1479666X,,0.709,68,0.709
Tissue Engineering - Part A,journal,"1937335X, 19373341",1937335X, 19373341,0.709,139,0.709
Virus Research,journal,"01681702, 18727492",01681702, 18727492,0.709,151,0.709
Weather,trade journal,"14778696, 00431656",14778696, 00431656,0.709,49,0.709
World Neurosurgery,journal,"18788769, 18788750",18788769, 18788750,0.709,123,0.709
Cancer Genetics,journal,"22107762, 22107770",22107762, 22107770,0.709,55,0.709
"IEEE Wireless Communications and Networking Conference, WCNC",conference and proceedings,15253511,15253511,,0.709,95,0.709
Carnets de Geologie,journal,"17652553, 16340744",17652553, 16340744,0.708,22,0.708
International Journal of Paleopathology,journal,"18799817, 18799825",18799817, 18799825,0.708,40,0.708
Preventive Veterinary Medicine,journal,"01675877, 18731716",01675877, 18731716,0.708,115,0.708
ACM Transactions on Economics and Computation,journal,"21678375, 21678383",21678375, 21678383,0.708,25,0.708
BMC Cardiovascular Disorders,journal,14712261,14712261,,0.708,76,0.708
Infectious Diseases in Obstetrics and Gynecology,journal,"10980997, 10647449",10980997, 10647449,0.708,55,0.708
Inquiry (United States),journal,"19457243, 00469580",19457243, 00469580,0.708,53,0.708
Journal of Comparative Effectiveness Research,journal,"20426305, 20426313",20426305, 20426313,0.708,39,0.708
Journal of Ultrasound in Medicine,journal,"02784297, 15509613",02784297, 15509613,0.708,108,0.708
Acta Otorhinolaryngologica Italica,journal,"0392100X, 1827675X",0392100X, 1827675X,0.707,58,0.707
African Journalism Studies,journal,"23743689, 23743670",23743689, 23743670,0.707,26,0.707
Asymptotic Analysis,journal,"18758576, 09217134",18758576, 09217134,0.707,49,0.707
Cross Cultural and Strategic Management,journal,20595794,20595794,,0.707,53,0.707
Equilibrium. Quarterly Journal of Economics and Economic Policy,journal,"1689765X, 23533293",1689765X, 23533293,0.707,30,0.707
Frontiers in Sociology,journal,22977775,22977775,,0.707,34,0.707
Journal of Civil Engineering and Management,journal,"18223605, 13923730",18223605, 13923730,0.707,65,0.707
Police Practice and Research,journal,15614263,15614263,,0.707,41,0.707
Annals of Vascular Surgery,journal,"16155947, 08905096",16155947, 08905096,0.707,87,0.707
Breast Care,journal,"16613791, 16613805",16613791, 16613805,0.707,47,0.707
Cardiovascular Diagnosis and Therapy,journal,"22233660, 22233652",22233660, 22233652,0.707,47,0.707
Career Development Quarterly,journal,"21610045, 08894019",21610045, 08894019,0.707,67,0.707
Jornal de Pediatria,journal,"16784782, 00217557",16784782, 00217557,0.707,66,0.707
Journal of Gynecology Obstetrics and Human Reproduction,journal,24687847,24687847,,0.707,47,0.707
Journal of the Canadian Association of Gastroenterology,journal,"25152092, 25152084",25152092, 25152084,0.707,21,0.707
Schizophrenia Bulletin Open,journal,26327899,26327899,,0.707,17,0.707
Area Development and Policy,journal,23792957,23792957,,0.706,26,0.706
Australasian Journal on Ageing,journal,"14406381, 17416612",14406381, 17416612,0.706,50,0.706
ClinicoEconomics and Outcomes Research,journal,11786981,11786981,,0.706,40,0.706
Cognitive Linguistics,journal,"09365907, 16133641",09365907, 16133641,0.706,67,0.706
Digital Chemical Engineering,journal,27725081,27725081,,0.706,16,0.706
E and G Quaternary Science Journal,journal,"04247116, 21999090",04247116, 21999090,0.706,32,0.706
International Journal of Advanced Manufacturing Technology,journal,"02683768, 14333015",02683768, 14333015,0.706,175,0.706
Journal of Language Aggression and Conflict,journal,22131272,22131272,,0.706,20,0.706
Language and Linguistics Compass,journal,1749818X,1749818X,,0.706,64,0.706
Administrative Sciences,journal,20763387,20763387,,0.706,42,0.706
Clinical Biochemist Reviews,journal,"18380212, 01598090",18380212, 01598090,0.706,39,0.706
Current Pediatrics Reports,journal,21674841,21674841,,0.706,21,0.706
European Journal of Radiology Open,journal,23520477,23520477,,0.706,29,0.706
Journal of Cellular Plastics,journal,"15307999, 0021955X",15307999, 0021955X,0.706,50,0.706
Journal of Environmental Health Science and Engineering,journal,2052336X,2052336X,,0.706,71,0.706
Journal of Hydraulic Engineering,journal,"07339429, 19437900",07339429, 19437900,0.706,147,0.706
Transfusion,journal,"00411132, 15372995",00411132, 15372995,0.706,153,0.706
Yeast,journal,"10970061, 0749503X",10970061, 0749503X,0.706,113,0.706
BMC Developmental Biology,journal,1471213X,1471213X,,0.706,88,0.706
Australian Dental Journal,journal,"18347819, 00450421",18347819, 00450421,0.705,90,0.705
Beverage Plant Research,journal,27692108,27692108,,0.705,11,0.705
Energetic Materials Frontiers,journal,26666472,26666472,,0.705,20,0.705
European Journal of Development Research,journal,"17439728, 09578811",17439728, 09578811,0.705,65,0.705
Forecasting,journal,25719394,25719394,,0.705,22,0.705
Social Epistemology,journal,"02691728, 14645297",02691728, 14645297,0.705,44,0.705
Theriogenology,journal,"0093691X, 18793231",0093691X, 18793231,0.705,153,0.705
Urban Policy and Research,journal,"14767244, 08111146",14767244, 08111146,0.705,51,0.705
Current Opinion in Obstetrics and Gynecology,journal,"1040872X, 1473656X",1040872X, 1473656X,0.705,89,0.705
Current Opinion in Organ Transplantation,journal,"15317013, 10872418",15317013, 10872418,0.705,64,0.705
Engineering in Life Sciences,journal,"16182863, 16180240",16182863, 16180240,0.705,80,0.705
Journal of Patient Experience,journal,"23743743, 23743735",23743743, 23743735,0.705,24,0.705
Optimization,journal,"10294945, 02331934",10294945, 02331934,0.705,63,0.705
Physical Review E,journal,"24700045, 24700053",24700045, 24700053,0.705,271,0.705
Tremor and Other Hyperkinetic Movements,journal,21608288,21608288,,0.705,34,0.705
Advances in Space Research,journal,"02731177, 18791948",02731177, 18791948,0.704,124,0.704
Agriculture (Switzerland),journal,20770472,20770472,,0.704,84,0.704
Journal of Language and Politics,journal,"15699862, 15692159",15699862, 15692159,0.704,41,0.704
Journal of Professional Capital and Community,journal,"20569548, 20569556",20569548, 20569556,0.704,27,0.704
Journal of the American Society for Mass Spectrometry,journal,"10440305, 18791123",10440305, 18791123,0.704,142,0.704
Lithologic Reservoirs,journal,16738926,16738926,,0.704,19,0.704
Alcohol,journal,"18736823, 07418329",18736823, 07418329,0.704,90,0.704
Digital Signal Processing: A Review Journal,journal,"10954333, 10512004",10954333, 10512004,0.704,96,0.704
Nutrition and Metabolic Insights,journal,11786388,11786388,,0.704,24,0.704
Pathophysiology,journal,"09284680, 1873149X",09284680, 1873149X,0.704,61,0.704
Radiologic Clinics of North America,journal,"00338389, 15578275",00338389, 15578275,0.704,93,0.704
Acupuncture in Medicine,journal,"09645284, 17599873",09645284, 17599873,0.703,57,0.703
Aquaculture and Fisheries,journal,"20961758, 2468550X",20961758, 2468550X,0.703,35,0.703
First Language,journal,"17402344, 01427237",17402344, 01427237,0.703,53,0.703
Journal of African Economies,journal,"09638024, 14643723",09638024, 14643723,0.703,62,0.703
Protoplasma,journal,"16156102, 0033183X",16156102, 0033183X,0.703,94,0.703
Public Administration and Development,journal,"02712075, 1099162X",02712075, 1099162X,0.703,56,0.703
Annals of Combinatorics,journal,"02180006, 02193094",02180006, 02193094,0.703,30,0.703
Discover Nano,journal,27319229,27319229,,0.703,14,0.703
Electronic Journal of e-Learning,journal,14794403,14794403,,0.703,41,0.703
Food Biophysics,journal,"15571858, 15571866",15571858, 15571866,0.703,67,0.703
Journal of College Student Development,journal,"08975264, 15433382",08975264, 15433382,0.703,100,0.703
North American Actuarial Journal,journal,10920277,10920277,,0.703,53,0.703
Psychiatry Investigation,journal,17383684,17383684,,0.703,57,0.703
Behavior Genetics,journal,"00018244, 15733297",00018244, 15733297,0.702,106,0.702
