ISSN	Titulo	Estrato	Classificação
0100-4298	AGROANALYSIS (FGV)	B4	
2168-3565	AGROECOLOGY AND SUSTAINABLE FOOD SYSTEMS (PRINT)	A2	
0167-4366	AGROFORESTRY SYSTEMS (PRINT)	A2	
1982-8470	AGRO@MBIENTE ON-LINE	B4	
1774-0746	AGRONOMY FOR SUSTAINABLE DEVELOPMENT	A1	
1435-0645	AGRONOMY JOURNAL (ONLINE)	A2	
0002-1962	AGRONOMY JOURNAL (PRINT)	A2	
2525-877X	AGROPAMPA: REVISTA DE GESTÃO DO AGRONEGÓCIO	B3	
1808-6845	AGROPECUÁRIA CIENTÍFICA NO SEMI-ÁRIDO	B4	
2525-8990	AGROTEC - REVISTA AGROPECUARIA TECNICA (ONLINE)	B4	
2179-9784	ÁGUAS SUBTERRÂNEAS	B3	
0951-5666	AI & SOCIETY	A1	
1938-9604	AIB INSIGHTS	A4	
1360-0451	AIDS CARE	A2	
1873-9318	AIR QUALITY, ATMOSPHERE AND HEALTH	A2	
2473-3458	AIS TRANSACTIONS ON REPLICATION RESEARCH	B2	
1449-8618	AJIS. AUSTRALASIAN JOURNAL OF INFORMATION SYSTEMS	A3	
1982-1093	AKRÓPOLIS	B4	
1413-2591	ALCANCE (UNIVALI) (CESSOU EM 2007)	A4	
2175-7402	ALCEU (ONLINE)	B2	
1413-0394	ALETHEIA (ULBRA)	B1	
2158-5571	ALGORITHMIC FINANCE	A4	
1999-4893	ALGORITHMS	C	
2359-6651	ALMANAQUE MULTIDISCIPLINAR DE PESQUISA	B1	
1982-5617	ALMANAQUE ON-LINE	B3	
2036-5195	ALMATOURISM - JOURNAL OF TOURISM, CULTURE AND TERRITORIAL DEVELOPMENT	A4	
1405-339X	ALTERNATIVAS EN PSICOLOGÍA	B3	
2318-4817	ALTUS CIÊNCIAS	B4	
0084-5841	AMA. AGRICULTURAL MECHANIZATION IN ASIA, AFRICA AND LATIN AMERICA	B3	
2525-8281	AMADEUS INTERNATIONAL MULTIDISCIPLINARY JOURNAL	C	
2595-8909	AMAZON BUSINESS RESEARCH	B3	
2322-6307	AMAZONIA INVESTIGA	B3	
2177-8760	AMAZONIAN JOURNAL OF AGRICULTURAL AND ENVIRONMENTAL SCIENCES / REVISTA DE CIÊNCIAS AGRÁRIAS	B4	
2176-0675	AMAZÔNICA: REVISTA DE ANTROPOLOGIA (ONLINE)	A2	
1808-0251	AMBIÊNCIA	B4	
2175-9405	AMBIÊNCIA (ONLINE)	B4	
2238-5533	AMBIENTE & EDUCAÇÃO: REVISTA DE EDUCAÇÃO AMBIENTAL	A3	
1809-4422	AMBIENTE & SOCIEDADE (ONLINE)	A2	
1415-8876	AMBIENTE CONSTRUÍDO	A3	
1678-8621	AMBIENTE CONSTRUÍDO (ONLINE)	A3	
1414-753X	AMBIENTE E SOCIEDADE	A2	
1824-114X	AMBIENTE SOCIETÀ TERRITORIO	B4	
1988-5733	ÁMBITOS	A3	
1139-1979	AMBITOS - REVISTA INTERNACIONAL DE COMUNICACIÓN	A3	
2318-3888	AMBIVALÊNCIAS	B3	
2167-9495	AMERICAN JOURNAL OF CLIMATE CHANGE	B2	
2320-0847	AMERICAN JOURNAL OF ENGINEERING RESEARCH	C	
2231-0606	AMERICAN JOURNAL OF EXPERIMENTAL AGRICULTURE	B4	
0890-1171	AMERICAN JOURNAL OF HEALTH PROMOTION	A2	
1520-6300	AMERICAN JOURNAL OF HUMAN BIOLOGY (ONLINE)	A1	
2161-6620	AMERICAN JOURNAL OF MOLECULAR BIOLOGY	B4	
2158-2750	AMERICAN JOURNAL OF PLANT SCIENCES	B3	
1099-209X	AMERICAN JOURNAL OF POTATO RESEARCH	A4	
1548-7776	AMERICAN JOURNAL OF PSYCHIATRIC REHABILITATION	B3	
0275-0740	AMERICAN REVIEW OF PUBLIC ADMINISTRATION	A1	
2313-4402	AMERICAN SCIENTIFIC RESEARCH JOURNAL FOR ENGINEERING, TECHNOLOGY, AND SCIENCES (ASRJETS)	C	
1869-814X	AMS REVIEW	A3	
1869-8182	AMS REVIEW	A3	
1692-2522	ANAGRAMAS RUMBOS Y SENTIDOS DE LA COMUNICACION	A4	
2238-2925	ANAIS BRASILEIROS DE ESTUDOS TURÍSTICOS	A4	
0001-3765	ANAIS DA ACADEMIA BRASILEIRA DE CIÊNCIAS (IMPRESSO)	A2	
1678-2690	ANAIS DA ACADEMIA BRASILEIRA DE CIÊNCIAS (ONLINE)	A2	
2594-3618	ANAIS DA ACADEMIA CEARENSE DE CIÊNCIAS	C	
0104-4885	ANAIS DA ACADEMIA NACIONAL DE MEDICINA	C	
1980-0258	ANAIS DA ACADEMIA PERNAMBUCANA DE CIÊNCIA AGRONÔMICA	B4	
0303-7762	ANAIS DO INSTITUTO DE HIGIENE E MEDICINA TROPICAL	B3	
2447-0600	ANAIS DOS ENCONTROS DE TURISMO DE BASE COMUNITÁRIA E ECONOMIA SOLIDÁRIA	C	
0211-9803	ANALES DE GEOGRAFÍA DE LA UNIVERSIDAD COMPLUTENSE	B1	
0102-9924	ANÁLISE ECONÔMICA (UFRGS)	A3	
2316-5197	ANALYTICA: REVISTA DE PSICANÁLISE	B1	
2156-6909	ANATOLIA	A3	
1751-7311	ANIMAL (CAMBRIDGE. PRINT)	A1	
0377-8401	ANIMAL FEED SCIENCE AND TECHNOLOGY (PRINT)	A1	
1836-0939	ANIMAL PRODUCTION SCIENCE (PRINT)	A2	
1806-9614	ANIMAL REPRODUCTION	A2	
1984-3143	ANIMAL REPRODUCTION	A2	
2076-2615	ANIMALS	A1	
2175-4977	ANIMUS: REVISTA INTERAMERICANA DE COMUNICAÇÃO MIDIÁTICA	B1	
1370-4788	ANNALES DE L'ÉCONOMIE PUBLIQUE, SOCIALE ET COOPÉRATIVE (ED. MULTILINGUE)	A2	
0196-0644	ANNALS OF EMERGENCY MEDICINE	A1	
1614-2446	ANNALS OF FINANCE (PRINT)	A3	
0003-4819	ANNALS OF INTERNAL MEDICINE	A1	
