ISSN	Titulo	Estrato	Classificação
1983-3784	COMPOSIÇÃO: REVISTA DE CIÊNCIAS SOCIAIS DA UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL	B4	
1631-0713	COMPTES RENDUS. GÉOSCIENCE	A2	
1645-2089	COMUNICAÇÃO E SOCIEDADE (UMINHO)	A3	
1980-5101	COMUNICAÇÃO EM CIÊNCIAS DA SAÚDE	B2	
2317-3254	CONEXÃO POLÍTICA - REVISTAS ELETRÔNICAS DA UFPI	A4	
1982-176X	CONEXÕES : CIÊNCIA E TECNOLOGIA	A2	
1958-9212	CONFINS (PARIS)	A1	
1676-661X	CONFLITOS NO CAMPO BRASIL	A4	
2316-395X	CONFLUÊNCIAS CULTURAIS	B2	
1678-7145	CONFLUÊNCIAS (NITERÓI)	A4	
